measure_id,measure_name,measure_format,filter_id,demographics,location_id,location_type,location_name,start_year,end_year,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average,calculation,population,total_cases,median_household_income,num_full_time_prosecutors,total_num_law_enforcement_agencies
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL065,county,Jefferson,2009,2013,421,1911,22.0304,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,14469,1948,44170,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL067,county,Lafayette,2009,2013,77,806,9.5533,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,8745,839,39722,NA,1
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL069,county,Lake,2009,2013,5446,36091,15.0896,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,300926,36112,45035,NA,13
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL071,county,Lee,2009,2013,3337,83207,4.0105,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,633968,83239,47439,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL073,county,Leon,2009,2013,11176,42154,26.5123,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,278624,44878,46369,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL075,county,Levy,2009,2013,2518,7561,33.3025,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,40289,8026,34348,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL077,county,Liberty,2009,2013,105,1116,9.4086,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,8308,1151,39681,NA,1
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL079,county,Madison,2009,2013,564,3747,15.052,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,19070,3910,33833,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL081,county,Manatee,2009,2013,17080,44373,38.4919,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,329487,46819,47876,NA,5
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL083,county,Marion,2009,2013,10406,42436,24.5216,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,333503,43742,39453,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL085,county,Martin,2009,2013,2616,20510,12.7548,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,147786,21433,49846,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL086,county,Miami-Dade,2009,2013,155021,440044,35.2285,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,2549075,452328,43100,NA,33
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL087,county,Monroe,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,74213,24849,53607,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL089,county,Nassau,2009,2013,1194,9335,12.7906,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,74163,9939,55315,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL091,county,Okaloosa,2009,2013,5669,32301,17.5505,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,185852,33413,54684,NA,6
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL093,county,Okeechobee,2009,2013,1487,7357,20.212,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,39642,7641,34570,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL095,county,Orange,2009,2013,12627,161568,7.8153,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1175416,173200,47581,NA,12
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL097,county,Osceola,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,279837,74115,43891,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL099,county,Palm Beach,2009,2013,55439,184316,30.0782,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1339221,184487,52432,NA,21
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL101,county,Pasco,2009,2013,22497,69017,32.5963,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,468194,70831,43888,NA,5
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL103,county,Pinellas,2009,2013,49905,183485,27.1984,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,920015,188969,45535,NA,14
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL105,county,Polk,2009,2013,14800,112335,13.1749,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,610295,118472,43113,NA,15
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL107,county,Putnam,2009,2013,8015,22181,36.1345,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,73683,23478,32497,NA,6
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL109,county,St. Johns,2009,2013,5585,23654,23.6112,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,197115,26195,64876,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL111,county,St. Lucie,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,281015,0,43413,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL113,county,Santa Rosa,2009,2013,1338,16145,8.2874,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,155579,16865,57703,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL115,county,Sarasota,2009,2013,10603,46274,22.9135,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,383094,47383,49052,NA,6
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL117,county,Seminole,2009,2013,NA,NA,NA,NA,NA,CACHE_MISS,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,427184,0,58175,NA,9
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL119,county,Sumter,2009,2013,897,7275,12.3299,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,98409,7894,48493,NA,5
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL121,county,Suwannee,2009,2013,603,6156,9.7953,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,42865,6430,35698,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL123,county,Taylor,2009,2013,727,4908,14.8126,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,22660,5287,36356,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL125,county,Union,2009,2013,454,2169,20.9313,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,15307,2344,42660,NA,1
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL127,county,Volusia,2009,2013,32785,128177,25.5779,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,496268,136288,42457,NA,15
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL129,county,Wakulla,2009,2013,622,3461,17.9717,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,30824,3651,52691,NA,1
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL131,county,Walton,2009,2013,1197,11587,10.3305,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,56590,11888,43640,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL133,county,Washington,2009,2013,888,4046,21.9476,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,24702,4244,38501,NA,2
23,Cases Dismissed,percentage,1,all defendants,FL,state,Florida,2009,2013,441595,2172738,20.3244,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,19091156,3097814,46956,NA,NA
23,Cases Dismissed,percentage,1,all defendants,FL001,county,Alachua,2009,2013,6228,39597,15.7285,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,249848,62645,42149,NA,4
23,Cases Dismissed,percentage,1,all defendants,FL003,county,Baker,2009,2013,569,3342,17.0257,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,27069,5769,49236,NA,1
23,Cases Dismissed,percentage,1,all defendants,FL005,county,Bay,2009,2013,2144,36976,5.7984,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,170704,57611,47461,NA,7
