location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr
FL071,FL,633968,94.1798,5.8202,5.9972,13.5,9.0281,15.4,70.4283,8.005,0.1868,1.4723,1.29,18.6172,47439,26.9,NA,153.951,75,4,NA,976,19.1,5.53,165831,NA,86.9,Cape Coral,82.8904,49.285,57.0265,63.1115,4.6771,62.5595,13.359753758959428,12.018730506679347,county,Lee,0.40462307680894943,0.3897865016839513,0.030325959555496208,0.02679485467574665
FL073,FL,278624,87.6905,12.3095,7.5405,11.2,3.4879,23.2,58.5894,30.2788,0.3047,3.0159,2,5.8132,46369,19.9,NA,211.396,100,2,NA,589,27.3,12.41,181376,NA,91.8,Tallahassee,NA,80.3101,88.7687,NA,75.7143,100,12.537618481628343,12.108333017003709,county,Leon,0.25255674257689237,0.565981066798464,0,0
FL075,FL,40289,7.9508,92.0492,6.4562,14.8,1.8591,23.7,80.6051,9.4219,0.2755,0.5386,1.59,7.5728,34348,28.1,NA,235.7964,25,4,NA,95,16.7,6.19,2768,NA,81.1,Williston,65.3421,50.4587,70.9365,NA,NA,40,10.603833757822766,7.926241523170962,county,Levy,0.02240032881216605,0.38183312782572953,0,0.5947390053431977
FL077,FL,8308,0,100,6.8547,20.6,2.4194,24.1,71.1363,17.1762,1.2277,0.7102,2.73,7.0173,39681,28.7,NA,180.5489,0,1,NA,15,20.5,13,987,NA,75.6,Bristol,60.9626,91.5493,92.1101,84.8485,87.5,NA,9.024974184996003,6.895682697747868,county,Liberty,0.08095781071835804,0.621436716077537,0.07525655644241733,0.21322690992018245
FL079,FL,19070,19.9906,80.0094,8.2802,14.2,2.7583,22.5,54.688,37.8553,0.1835,0.2202,2.2,4.8558,33833,27.5,NA,277.9234,0,2,NA,53,11.9,6.6,2961,NA,78.2,Madison,61.8003,54.9407,71.6364,59.375,0,NA,9.855871698594465,7.993619994827744,county,Madison,0.09233576642335767,0.40145985401459855,0.02335766423357664,0.4824817518248175
FL081,FL,329487,94.2097,5.7903,5.4087,11.3,7.6492000000000004,15.1,73.0536,8.6765,0.1918,1.7108,1.38,14.9894,47876,23.9,NA,222.1635,80,5,NA,732,17.4,5.41,51763,NA,87.4,Bradenton,75.228,82.3466,91.9759,90.6667,84.375,NA,12.705292178428627,10.85445020594156,county,Manatee,0.14376635039631408,0.609230408808715,0.011713716762328687,0.2140486509702862
FL083,FL,333503,68.9717,31.0283,6.3499,13.8,3.2159,18.1,73.4263,12.2272,0.3103,1.3694,1.46,11.2092,39453,24.8,NA,191.0028,50,4,NA,637,15.5,5.45,53491,NA,85,Ocala,78.67,78.4885,86.7067,81.6735,81.25,99.1171,12.717407139799604,10.887287388992688,county,Marion,0.16841233012926748,0.3750082863771959,0.05624792840570103,0.05283394100099437
FL085,FL,147786,91.5233,8.4767,4.0156,12.8,5.8043,13,79.7586,5.2231,0.1651,0.9581,1.42,12.4721,49846,24.4,NA,213.146,50,4,NA,315,14.3,5.21,16078,NA,88.8,Stuart,64.6529,85.5518,87.7347,86.8098,97.0149,NA,11.903520560411664,9.685269351744411,county,Martin,0.19705597286164284,0.42918584928519504,0.01974800096922704,0.3499515386479283
FL086,FL,2549075,99.5956,0.4044,8.9627,11.8,24.6528,19.9,15.5649,17.1193,0.0893,1.5097,0.85,64.8624,43100,29,NA,247.8546,60.61,33,NA,6318,13.1,6.91,408568,NA,78.8,Miami,NA,NA,70.0423,NA,46.2372,NA,14.751241106228651,12.920416089667112,county,Miami-Dade,0,0.5003299800553491,0,0
FL087,FL,74213,91.2861,8.7139,3.7926,7.5,9.2922,13.5,70.295,6.2644,0.1765,1.0685,1.12,21.0731,53607,18.8,NA,398.852,50,4,NA,296,16,5.78,25550,NA,89.9,Key West,55.5556,77.4599,79.9765,85.1613,68.6254,89.0889,11.214694615965701,10.14843173380919,county,Monroe,0.523795904358769,0.19482896693742136,0.008866262441368265,0.004633337146779545
FL089,FL,74163,51.8537,48.1463,4.7639,10.1,0.9142,12.6,87.3454,6.4534,0.4072,0.8711,1.43,3.491,55315,29,NA,229.2248,100,2,NA,170,13.2,6,11592,NA,89.4,Fernandina Beach,NA,NA,NA,NA,NA,NA,11.214020652495966,9.358156746670401,county,Nassau,NA,NA,NA,NA
FL091,FL,185852,87.9008,12.0992,7.3471,8.8,2.8716,13.4,76.2741,8.7494,0.5402,3.0605,3.93,7.4462,54684,22.9,NA,206.078,66.67,6,NA,383,19.1,7.82,22785,NA,90.9,Crestview,89.2523,35.2941,100,75,NA,84.5947,12.132705937034189,10.033901591258061,county,Okaloosa,0.0013230601603237606,5.058759436532026e-4,0.006226165460347109,0.008327496303214258
FL093,FL,39642,63.4513,36.5487,9.0084,15.9,9.0863,26.9,64.8302,8.8366,0.5323,0.3986,1.17,24.2319,34570,25.3,NA,247.2126,50,2,NA,98,11.2,7.43,5621,NA,67.8,Okeechobee,53.6661,81.1392,80.1086,60.339,NA,NA,10.587644441257941,8.634442751466477,county,Okeechobee,0.15119617224880383,0.669665071770335,0.05645933014354067,0.12267942583732057
FL095,FL,1175416,97.9579,2.0421,8.5259,11.4,9.8708,17,45.0696,19.6791,0.164,4.9151,2.55,27.6188,47581,26.3,NA,211.0742,58.33,12,NA,2481,20.6,8.28,255483,NA,87.2,Orlando,42.8571,48.5832,52.1996,59.6899,34.0073,75.0861,13.977132685455311,12.45091506435584,county,Orange,0.3862512958427861,0.38232996289006743,0.01647410568067429,5.258492465331511e-5
FL097,FL,279837,92.1789,7.8211,10.1954,12.8,10.162,17.9,38.9023,9.3269,0.1522,2.5686,2.21,46.8366,43891,30.6,NA,211.5517,100,3,NA,592,14.6,7.67,65173,NA,83.8,Kissimmee,NA,NA,NA,NA,NA,NA,12.541962569783301,11.08481589537751,county,Osceola,NA,NA,NA,NA
FL099,FL,1339221,98.9575,1.0425,6.5805,11.8,11.9686,14.5,59.2314,17.0303,0.1116,2.3512,1.77,19.5098,52432,24.5,NA,213.1836,76.19,21,NA,2855,15,6.07,102436,NA,87.5,West Palm Beach,64.9839,56.6804,70.4329,71.4286,NA,81.8021,14.107598659597986,11.537003254449258,county,Palm Beach,0.08448747449311857,0.24392827682021448,9.725176920071202e-4,0.3718664524812226
FL101,FL,468194,90.5336,9.4664,5.4979,12.1,3.8053,13.9,79.211,4.2809,0.2817,2.1754,1.83,12.2201,43888,30,NA,142.8895,60,5,NA,669,13.1,5.49,14911,NA,87.2,New Port Richey,82.9441,76.6358,90.59,91.8334,NA,100,13.056638018920525,9.609921536925372,county,Pasco,0.1445876470173956,0.6661032467075146,0.04340681268633941,0.14576143859896237
FL103,FL,920015,99.716,0.284,5.7313,10.5,5.0949,14.1,76.4243,10.1193,0.222,3.0555,1.94,8.2413,45535,23.4,NA,209.4531,50,14,NA,1927,15.6,5.36,249688,NA,88.9,St. Petersburg,76.7638,79.4926,91.6936,95.3177,90.7434,97.3261,13.732145253240136,12.427971422434073,county,Pinellas,0.14551926482638308,0.48178365947998625,0.0026344308660140796,0.0940377278694591
FL105,FL,610295,86.4895,13.5105,7.5358,12.6,6.3417,18.2,63.8283,14.4124,0.2392,1.6199,1.72,18.1827,43113,25.8,NA,166.313,46.67,15,NA,1015,16.3,6.57,100710,NA,82.4,Lakeland,66.6667,79.6568,84.6715,87.2727,63.8279,94.3548,13.321697725806908,11.52001030809344,county,Polk,0.06804913100103292,0.20933444110118113,0.006792562985584048,3.3682130507028335e-5
